condition,sample_unit,score,threshold,n_total,n_fake,n_real,missing_score_windows,pooled_roc_auc,average_precision,precision,recall,f1,accuracy,tn,fp,fn,tp,ctrl_included,missing_values
H_MEAN_A,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.5567765567765568,0.611723395471896,0.6071428571428571,0.40476190476190477,0.4857142857142857,0.5555555555555556,28,11,25,17,False,rows without all three saved seed logits are excluded; no zero fill
H_MEAN_C,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.525030525030525,0.6078046876903798,0.5135135135135135,0.4523809523809524,0.48101265822784806,0.49382716049382713,21,18,23,19,False,rows without all three saved seed logits are excluded; no zero fill
H_MEAN_D,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.5378510378510378,0.5948523957377533,0.6071428571428571,0.40476190476190477,0.4857142857142857,0.5555555555555556,28,11,25,17,False,rows without all three saved seed logits are excluded; no zero fill
H_MAX_A,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.5561660561660562,0.5746111629060082,0.6111111111111112,0.5238095238095238,0.5641025641025642,0.5802469135802469,25,14,20,22,False,rows without all three saved seed logits are excluded; no zero fill
H_MAX_C,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.4981684981684982,0.5118931345428486,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5185185185185185,27,12,27,15,False,rows without all three saved seed logits are excluded; no zero fill
H_MAX_D,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.47802197802197804,0.4999869733917457,0.5172413793103449,0.35714285714285715,0.4225352112676057,0.49382716049382713,25,14,27,15,False,rows without all three saved seed logits are excluded; no zero fill
B_MEAN_A,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.57997557997558,0.6318290469351415,0.6333333333333333,0.4523809523809524,0.5277777777777778,0.5802469135802469,28,11,23,19,False,rows without all three saved seed logits are excluded; no zero fill
B_MEAN_C,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.5518925518925519,0.6311426129318947,0.5675675675675675,0.5,0.5316455696202531,0.5432098765432098,23,16,21,21,False,rows without all three saved seed logits are excluded; no zero fill
B_MEAN_D,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.5555555555555556,0.6128561903360146,0.5862068965517241,0.40476190476190477,0.4788732394366197,0.5432098765432098,27,12,25,17,False,rows without all three saved seed logits are excluded; no zero fill
B_MAX_A,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.5787545787545788,0.5879006796079648,0.6,0.5714285714285714,0.5853658536585366,0.5802469135802469,23,16,18,24,False,rows without all three saved seed logits are excluded; no zero fill
B_MAX_C,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.4267399267399267,0.4686950496708991,0.4642857142857143,0.30952380952380953,0.3714285714285715,0.4567901234567901,24,15,29,13,False,rows without all three saved seed logits are excluded; no zero fill
B_MAX_D,"MANIP window; fake=positive, real=negative",mean of the three saved source-disjoint OOF logits,logit >= 0,81,42,39,0,0.4908424908424908,0.5109392119908372,0.5,0.30952380952380953,0.3823529411764706,0.48148148148148145,26,13,29,13,False,rows without all three saved seed logits are excluded; no zero fill
