condition,expected_slots,completed_slots,missing_slots,skipped_sources,missing_seeds,duplicate_keys
H_MEAN_A,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
H_MEAN_C,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
H_MEAN_D,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
H_MAX_A,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
H_MAX_C,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
H_MAX_D,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
B_MEAN_A,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
B_MEAN_C,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
B_MEAN_D,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
B_MAX_A,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
B_MAX_C,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
B_MAX_D,48,45,3,0HV07,0HV07:20260909;0HV07:20260910;0HV07:20260911,0
