comparison,mean,ci95_low,ci95_high
H_MAX-H_MEAN_A,0.003968253968253982,-0.14682539682539686,0.15873015873015872
B_MAX-B_MEAN_A,-0.05158730158730158,-0.17460317460317465,0.0793650793650793
B_MEAN-H_MEAN_A,0.039682539682539694,0.007936507936507908,0.0793650793650793
B_MAX-H_MAX_A,-0.01587301587301586,-0.11111111111111116,0.07142857142857162
B_MAX-H_MEAN_A,-0.011904761904761882,-0.12301587301587313,0.10317460317460325
H_MEAN_C-A,-0.13095238095238096,-0.2261904761904761,-0.039682539682539764
H_MEAN_C-D,-0.06746031746031746,-0.16666666666666657,0.02777777777777779
H_MAX_C-A,-0.07539682539682542,-0.2222222222222222,0.06746031746031755
H_MAX_C-D,0.007936507936507924,-0.1428571428571428,0.14285714285714302
B_MEAN_C-A,-0.09523809523809525,-0.1825396825396825,-0.015873015873015872
B_MEAN_C-D,0.00793650793650794,-0.0714285714285714,0.08730158730158732
B_MAX_C-A,-0.22222222222222224,-0.3888888888888889,-0.07936507936507925
B_MAX_C-D,-0.17063492063492067,-0.33333333333333337,-0.04365079365079366
H_MAX-H_MEAN_C,0.059523809523809514,-0.1507936507936508,0.2579365079365081
B_MAX-B_MEAN_C,-0.17857142857142858,-0.3928571428571429,0.023809523809523836
B_MEAN-H_MEAN_C,0.07539682539682539,-0.007936507936507908,0.1626984126984128
B_MAX-H_MAX_C,-0.1626984126984127,-0.33730158730158727,-0.019841269841269937
B_MAX-H_MEAN_C,-0.10317460317460318,-0.28571428571428564,0.07936507936507936
H_MAX-H_MEAN_D,-0.015873015873015872,-0.1507936507936508,0.11111111111111105
B_MAX-B_MEAN_D,1.1895246692412391e-17,-0.10317460317460325,0.1031746031746032
B_MEAN-H_MEAN_D,-7.93016446160826e-18,-0.03968253968253965,0.03968253968253965
B_MAX-H_MAX_D,0.01587301587301588,-0.07142857142857151,0.11111111111111105
B_MAX-H_MEAN_D,0.0,-0.09523809523809523,0.09523809523809518
