source_id,H_MEAN_A_fake_count,H_MEAN_A_real_count,H_MEAN_A_auroc,H_MEAN_C_fake_count,H_MEAN_C_real_count,H_MEAN_C_auroc,H_MEAN_D_fake_count,H_MEAN_D_real_count,H_MEAN_D_auroc,H_MAX_A_fake_count,H_MAX_A_real_count,H_MAX_A_auroc,H_MAX_C_fake_count,H_MAX_C_real_count,H_MAX_C_auroc,H_MAX_D_fake_count,H_MAX_D_real_count,H_MAX_D_auroc,B_MEAN_A_fake_count,B_MEAN_A_real_count,B_MEAN_A_auroc,B_MEAN_C_fake_count,B_MEAN_C_real_count,B_MEAN_C_auroc,B_MEAN_D_fake_count,B_MEAN_D_real_count,B_MEAN_D_auroc,B_MAX_A_fake_count,B_MAX_A_real_count,B_MAX_A_auroc,B_MAX_C_fake_count,B_MAX_C_real_count,B_MAX_C_auroc,B_MAX_D_fake_count,B_MAX_D_real_count,B_MAX_D_auroc
01KML,3,1,1.0,3,1,0.6666666666666666,3,1,1.0,3,1,1.0,3,1,1.0,3,1,1.0,3,1,1.0,3,1,1.0,3,1,1.0,3,1,1.0,3,1,0.0,3,1,1.0
04LAX,3,3,0.6666666666666666,3,3,0.2222222222222222,3,3,0.5555555555555556,3,3,0.8888888888888888,3,3,0.6666666666666666,3,3,0.6666666666666666,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.6666666666666666,3,3,0.8888888888888888,3,3,0.5555555555555556,3,3,0.6666666666666666
0AGCS,3,3,0.0,3,3,0.1111111111111111,3,3,0.0,3,3,0.0,3,3,0.0,3,3,0.0,3,3,0.0,3,3,0.1111111111111111,3,3,0.0,3,3,0.0,3,3,0.0,3,3,0.1111111111111111
0BX9N,3,3,0.3333333333333333,3,3,0.3333333333333333,3,3,0.3333333333333333,3,3,0.8888888888888888,3,3,0.8888888888888888,3,3,0.4444444444444444,3,3,0.3333333333333333,3,3,0.1111111111111111,3,3,0.3333333333333333,3,3,0.7777777777777778,3,3,0.4444444444444444,3,3,0.4444444444444444
0CGMQ,3,3,0.4444444444444444,3,3,0.2222222222222222,3,3,0.1111111111111111,3,3,0.2222222222222222,3,3,0.6666666666666666,3,3,0.3333333333333333,3,3,0.5555555555555556,3,3,0.2222222222222222,3,3,0.0,3,3,0.3333333333333333,3,3,0.4444444444444444,3,3,0.3333333333333333
0DVVD,3,3,0.8888888888888888,3,3,0.5555555555555556,3,3,0.7777777777777778,3,3,0.4444444444444444,3,3,0.3333333333333333,3,3,0.2222222222222222,3,3,0.8888888888888888,3,3,0.5555555555555556,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.4444444444444444,3,3,0.6666666666666666
0ET8W,3,3,0.6666666666666666,3,3,0.5555555555555556,3,3,0.5555555555555556,3,3,0.5555555555555556,3,3,0.0,3,3,0.5555555555555556,3,3,0.7777777777777778,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.5555555555555556,3,3,0.0,3,3,0.5555555555555556
0FM93,3,3,0.8888888888888888,3,3,1.0,3,3,0.8888888888888888,3,3,1.0,3,3,0.4444444444444444,3,3,0.8888888888888888,3,3,0.8888888888888888,3,3,1.0,3,3,0.8888888888888888,3,3,0.5555555555555556,3,3,0.5555555555555556,3,3,0.5555555555555556
0FO58,3,3,1.0,3,3,1.0,3,3,0.7777777777777778,3,3,0.4444444444444444,3,3,0.4444444444444444,3,3,0.3333333333333333,3,3,1.0,3,3,1.0,3,3,0.6666666666666666,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.5555555555555556
0G2SC,3,3,0.4444444444444444,3,3,0.4444444444444444,3,3,0.3333333333333333,3,3,0.5555555555555556,3,3,0.3333333333333333,3,3,0.2222222222222222,3,3,0.4444444444444444,3,3,0.4444444444444444,3,3,0.4444444444444444,3,3,0.5555555555555556,3,3,0.0,3,3,0.2222222222222222
0KTWY,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.8888888888888888,3,3,0.5555555555555556,3,3,1.0,3,3,0.6666666666666666,3,3,0.7777777777777778,3,3,0.5555555555555556,3,3,0.4444444444444444,3,3,0.5555555555555556
0LNLR,3,2,1.0,3,2,0.8333333333333334,3,2,1.0,3,2,0.8333333333333334,3,2,1.0,3,2,1.0,3,2,1.0,3,2,1.0,3,2,1.0,3,2,0.8333333333333334,3,2,0.8333333333333334,3,2,1.0
0PU21,3,3,0.0,3,3,0.0,3,3,0.1111111111111111,3,3,0.3333333333333333,3,3,0.4444444444444444,3,3,0.4444444444444444,3,3,0.0,3,3,0.0,3,3,0.1111111111111111,3,3,0.3333333333333333,3,3,0.4444444444444444,3,3,0.4444444444444444
0QA8P,3,3,0.6666666666666666,3,3,0.3333333333333333,3,3,0.6666666666666666,3,3,1.0,3,3,0.6666666666666666,3,3,1.0,3,3,0.6666666666666666,3,3,0.4444444444444444,3,3,0.5555555555555556,3,3,0.7777777777777778,3,3,0.6666666666666666,3,3,0.7777777777777778
