condition,source_count,seed_count_per_source,source_seed_rows,source_seed_auroc_mean,source_seed_auroc_std,source_seed_auroc_min,source_seed_auroc_max,mean_within_source_seed_auroc_std,max_within_source_seed_auroc_std,missing_seed_rows
H_MEAN_A,14,3,42,0.634920634920635,0.3264597428762402,0.0,1.0,0.018706528602818715,0.10475656017578482,0
H_MEAN_C,14,3,42,0.5026455026455026,0.29694515121905507,0.0,1.0,0.06821167598396627,0.31426968052735443,0
H_MEAN_D,14,3,42,0.5767195767195767,0.33878964219221425,0.0,1.0,0.05638017856651826,0.18885257457751053,0
H_MAX_A,14,3,42,0.582010582010582,0.30531209522488256,0.0,1.0,0.11054475991916692,0.3142696805273545,0
H_MAX_C,14,3,42,0.5449735449735449,0.3159576428959496,0.0,1.0,0.191223265688595,0.34346735168502607,0
H_MAX_D,14,3,42,0.5317460317460317,0.32937304765015385,0.0,1.0,0.1604766916304299,0.4714045207910317,0
B_MEAN_A,14,3,42,0.6402116402116403,0.33754789222722925,0.0,1.0,0.03741305720563743,0.15713484026367724,0
B_MEAN_C,14,3,42,0.5899470899470899,0.3302218939715225,0.0,1.0,0.07523710779249637,0.31426968052735443,0
B_MEAN_D,14,3,42,0.5925925925925926,0.3294898936918575,0.0,1.0,0.05552809934321466,0.18144368465060579,0
B_MAX_A,14,3,42,0.5502645502645502,0.27931046042949875,0.0,1.0,0.13243120023816848,0.4714045207910317,0
B_MAX_C,14,3,42,0.4470899470899471,0.28430231158535785,0.0,1.0,0.1797448635024594,0.3271022543084388,0
B_MAX_D,14,3,42,0.5515873015873016,0.28182054309457305,0.0,1.0,0.1538787166255678,0.4714045207910317,0
