condition,split,aggregation,source_count,fold_seed_rows,score_rows,n_total,n_fake,n_real,roc_auc,average_precision,precision,recall,f1,accuracy,tn,fp,fn,tp,threshold,score_note
H_MEAN_A,train,pooled,14,42,3159,3159,1638,1521,0.6330120679233106,0.6964876545319649,0.6737588652482269,0.463980463980464,0.549530007230658,0.6055713833491612,1153,368,878,760,logit >= 0,all saved fold/seed predictions; training rows repeat a window across folds
H_MEAN_A,train,source_macro,14,42,81,,,,0.6904761904761905,0.7916666666666667,0.6944444444444444,0.4285714285714285,0.646031746031746,0.594047619047619,2.142857142857143,0.6428571428571429,1.7142857142857142,1.2857142857142858,,"mean seed/fold logit per source/window, then equal mean of source metrics"
H_MEAN_A,heldout,pooled,14,42,243,243,126,117,0.5514855514855515,0.5981791223458425,0.611764705882353,0.4126984126984127,0.49289099526066354,0.5596707818930041,84,33,74,52,logit >= 0,all saved fold/seed predictions; training rows repeat a window across folds
H_MEAN_A,heldout,source_macro,14,42,81,,,,0.6269841269841269,0.7384920634920634,0.5925925925925926,0.4047619047619047,0.649702380952381,0.5583333333333333,2.0,0.7857142857142857,1.7857142857142858,1.2142857142857142,,"mean seed/fold logit per source/window, then equal mean of source metrics"
B_MEAN_A,train,pooled,14,42,3159,3159,1638,1521,0.6458719160888786,0.7034828725060123,0.6876106194690266,0.47435897435897434,0.5614161849710982,0.6157011712567269,1168,353,861,777,logit >= 0,all saved fold/seed predictions; training rows repeat a window across folds
B_MEAN_A,train,source_macro,14,42,81,,,,0.6984126984126984,0.805952380952381,0.6818181818181818,0.49999999999999994,0.6695238095238095,0.6202380952380953,2.0714285714285716,0.7142857142857143,1.5,1.5,,"mean seed/fold logit per source/window, then equal mean of source metrics"
B_MEAN_A,heldout,pooled,14,42,243,243,126,117,0.5725817392484059,0.617130009636775,0.6341463414634146,0.4126984126984127,0.5,0.5720164609053497,87,30,74,52,logit >= 0,all saved fold/seed predictions; training rows repeat a window across folds
B_MEAN_A,heldout,source_macro,14,42,81,,,,0.6666666666666666,0.7662698412698413,0.6129629629629629,0.4523809523809524,0.6943452380952381,0.5821428571428572,2.0,0.7857142857142857,1.6428571428571428,1.3571428571428572,,"mean seed/fold logit per source/window, then equal mean of source metrics"
B_MEAN_C,train,pooled,14,42,3159,3159,1638,1521,0.7111252397248452,0.7603653368738196,0.7179681576952237,0.5781440781440782,0.6405140344944201,0.6635011079455524,1149,372,691,947,logit >= 0,all saved fold/seed predictions; training rows repeat a window across folds
B_MEAN_C,train,source_macro,14,42,81,,,,0.7222222222222222,0.8174603174603173,0.765,0.5476190476190476,0.7371428571428571,0.6535714285714286,2.142857142857143,0.6428571428571429,1.3571428571428572,1.6428571428571428,,"mean seed/fold logit per source/window, then equal mean of source metrics"
B_MEAN_C,heldout,pooled,14,42,243,243,126,117,0.5575905575905576,0.6235215027655061,0.5833333333333334,0.5,0.5384615384615384,0.5555555555555556,72,45,63,63,logit >= 0,all saved fold/seed predictions; training rows repeat a window across folds
B_MEAN_C,heldout,source_macro,14,42,81,,,,0.5714285714285714,0.719047619047619,0.5666666666666667,0.5,0.6097619047619048,0.5464285714285715,1.6428571428571428,1.1428571428571428,1.5,1.5,,"mean seed/fold logit per source/window, then equal mean of source metrics"
